"@timestamp","@version","_id","_index","_score","_type",host,level,"level_value","logger_name",message,port,"server_name","stack_trace","thread_name"
"Jul 9, 2025 @ 01:10:23.506",1,"LlAE65cB_1ZE_QuMiYEP","springboot-log-2025.07.09",,"_doc","192.168.100.1",INFO,"20,000","com.zaxxer.hikari.HikariDataSource","HikariPool-1 - Starting...","64,935","[""demo-server"",""localhost""]",,"RMI TCP Connection(2)-192.168.1.3"
"Jul 9, 2025 @ 01:10:23.498",1,"LVAE65cB_1ZE_QuMiYEP","springboot-log-2025.07.09",,"_doc","192.168.100.1",INFO,"20,000","org.springframework.web.servlet.DispatcherServlet","Completed initialization in 2 ms","64,935","[""demo-server"",""localhost""]",,"RMI TCP Connection(1)-192.168.1.3"
"Jul 9, 2025 @ 01:10:23.495",1,"K1AE65cB_1ZE_QuMiYEP","springboot-log-2025.07.09",,"_doc","192.168.100.1",INFO,"20,000","org.apache.catalina.core.ContainerBase.[Tomcat].[localhost].[/]","Initializing Spring DispatcherServlet 'dispatcherServlet'","64,935","[""demo-server"",""localhost""]",,"RMI TCP Connection(1)-192.168.1.3"
"Jul 9, 2025 @ 01:10:23.495",1,"LFAE65cB_1ZE_QuMiYEP","springboot-log-2025.07.09",,"_doc","192.168.100.1",INFO,"20,000","org.springframework.web.servlet.DispatcherServlet","Initializing Servlet 'dispatcherServlet'","64,935","[""demo-server"",""localhost""]",,"RMI TCP Connection(1)-192.168.1.3"
"Jul 9, 2025 @ 01:10:22.842",1,"J1AE65cB_1ZE_QuMh4GZ","springboot-log-2025.07.09",,"_doc","192.168.100.1",INFO,"20,000","org.csu.healthsystem.HealthSystemApplication","Started HealthSystemApplication in 4.097 seconds (process running for 4.711)","64,935","[""demo-server"",""localhost""]",,restartedMain
"Jul 9, 2025 @ 01:10:22.829",1,"JlAE65cB_1ZE_QuMh4GZ","springboot-log-2025.07.09",,"_doc","192.168.100.1",INFO,"20,000","org.springframework.boot.web.embedded.tomcat.TomcatWebServer","Tomcat started on port 8080 (http) with context path '/'","64,935","[""demo-server"",""localhost""]",,restartedMain
"Jul 9, 2025 @ 01:10:22.821",1,"JVAE65cB_1ZE_QuMh4GZ","springboot-log-2025.07.09",,"_doc","192.168.100.1",INFO,"20,000","org.apache.coyote.http11.Http11NioProtocol","Starting ProtocolHandler [""http-nio-8080""]","64,935","[""demo-server"",""localhost""]",,restartedMain
"Jul 9, 2025 @ 01:10:22.731",1,"JFAE65cB_1ZE_QuMh4GZ","springboot-log-2025.07.09",,"_doc","192.168.100.1",INFO,"20,000","org.springframework.boot.devtools.autoconfigure.OptionalLiveReloadServer","LiveReload server is running on port 35729","64,935","[""demo-server"",""localhost""]",,restartedMain
"Jul 9, 2025 @ 01:10:22.367",1,"I1AE65cB_1ZE_QuMh4GZ","springboot-log-2025.07.09",,"_doc","192.168.100.1",INFO,"20,000","org.springframework.boot.actuate.endpoint.web.EndpointLinksResolver","Exposing 16 endpoints beneath base path '/actuator'","64,935","[""demo-server"",""localhost""]",,restartedMain
"Jul 9, 2025 @ 01:10:21.904",1,"IlAE65cB_1ZE_QuMh4GZ","springboot-log-2025.07.09",,"_doc","192.168.100.1",INFO,"20,000","org.redisson.connection.ConnectionsHolder","24 connections initialized for 192.168.100.133/192.168.100.133:6379","64,935","[""demo-server"",""localhost""]",,"redisson-netty-1-19"
"Jul 9, 2025 @ 01:10:21.811",1,"IVAE65cB_1ZE_QuMh4GZ","springboot-log-2025.07.09",,"_doc","192.168.100.1",INFO,"20,000","org.redisson.connection.ConnectionsHolder","1 connections initialized for 192.168.100.133/192.168.100.133:6379","64,935","[""demo-server"",""localhost""]",,"redisson-netty-1-4"
"Jul 9, 2025 @ 01:10:21.578",1,"IFAE65cB_1ZE_QuMh4GZ","springboot-log-2025.07.09",,"_doc","192.168.100.1",INFO,"20,000","org.redisson.Version","Redisson 3.37.0","64,935","[""demo-server"",""localhost""]",,restartedMain
"Jul 9, 2025 @ 01:10:20.857",1,"H1AE65cB_1ZE_QuMh4GZ","springboot-log-2025.07.09",,"_doc","192.168.100.1",INFO,"20,000","org.springframework.boot.web.servlet.context.ServletWebServerApplicationContext","Root WebApplicationContext: initialization completed in 1558 ms","64,935","[""demo-server"",""localhost""]",,restartedMain
"Jul 9, 2025 @ 01:10:20.857",1,"F1AE65cB_1ZE_QuMh4GR","springboot-log-2025.07.09",,"_doc","192.168.100.1",INFO,"20,000","org.apache.catalina.core.ContainerBase.[Tomcat].[localhost].[/]","Initializing Spring embedded WebApplicationContext","64,935","[""demo-server"",""localhost""]",,restartedMain
"Jul 9, 2025 @ 01:10:20.820",1,"G1AE65cB_1ZE_QuMh4GX","springboot-log-2025.07.09",,"_doc","192.168.100.1",INFO,"20,000","org.apache.catalina.core.StandardEngine","Starting Servlet engine: [Apache Tomcat/10.1.42]","64,935","[""demo-server"",""localhost""]",,restartedMain
"Jul 9, 2025 @ 01:10:20.820",1,"KlAE65cB_1ZE_QuMiYEP","springboot-log-2025.07.09",,"_doc","192.168.100.1",INFO,"20,000","org.apache.catalina.core.StandardService","Starting service [Tomcat]","64,935","[""demo-server"",""localhost""]",,restartedMain
"Jul 9, 2025 @ 01:10:20.819",1,"HlAE65cB_1ZE_QuMh4GZ","springboot-log-2025.07.09",,"_doc","192.168.100.1",INFO,"20,000","org.apache.coyote.http11.Http11NioProtocol","Initializing ProtocolHandler [""http-nio-8080""]","64,935","[""demo-server"",""localhost""]",,restartedMain
"Jul 9, 2025 @ 01:10:20.810",1,"FlAE65cB_1ZE_QuMh4GR","springboot-log-2025.07.09",,"_doc","192.168.100.1",INFO,"20,000","org.springframework.boot.web.embedded.tomcat.TomcatWebServer","Tomcat initialized with port 8080 (http)","64,935","[""demo-server"",""localhost""]",,restartedMain
"Jul 9, 2025 @ 01:10:20.159",1,"GlAE65cB_1ZE_QuMh4GX","springboot-log-2025.07.09",,"_doc","192.168.100.1",INFO,"20,000","org.springframework.data.repository.config.RepositoryConfigurationDelegate","Finished Spring Data repository scanning in 14 ms. Found 0 Redis repository interfaces.","64,935","[""demo-server"",""localhost""]",,restartedMain
"Jul 9, 2025 @ 01:10:20.132",1,"KVAE65cB_1ZE_QuMiYEP","springboot-log-2025.07.09",,"_doc","192.168.100.1",INFO,"20,000","org.springframework.data.repository.config.RepositoryConfigurationDelegate","Bootstrapping Spring Data Redis repositories in DEFAULT mode.","64,935","[""demo-server"",""localhost""]",,restartedMain
"Jul 9, 2025 @ 01:10:20.128",1,"HVAE65cB_1ZE_QuMh4GZ","springboot-log-2025.07.09",,"_doc","192.168.100.1",INFO,"20,000","org.springframework.data.repository.config.RepositoryConfigurationDelegate","Multiple Spring Data modules found, entering strict repository configuration mode","64,935","[""demo-server"",""localhost""]",,restartedMain
"Jul 9, 2025 @ 01:10:19.299",1,"GVAE65cB_1ZE_QuMh4GX","springboot-log-2025.07.09",,"_doc","192.168.100.1",INFO,"20,000","org.springframework.boot.devtools.env.DevToolsPropertyDefaultsPostProcessor","Devtools property defaults active! Set 'spring.devtools.add-properties' to 'false' to disable","64,935","[""demo-server"",""localhost""]",,restartedMain
"Jul 9, 2025 @ 01:10:19.299",1,"FVAE65cB_1ZE_QuMh4GR","springboot-log-2025.07.09",,"_doc","192.168.100.1",INFO,"20,000","org.springframework.boot.devtools.env.DevToolsPropertyDefaultsPostProcessor","For additional web related logging consider setting the 'logging.level.web' property to 'DEBUG'","64,935","[""demo-server"",""localhost""]",,restartedMain
"Jul 9, 2025 @ 01:10:19.298",1,"KFAE65cB_1ZE_QuMiYEP","springboot-log-2025.07.09",,"_doc","192.168.100.1",INFO,"20,000","org.springframework.boot.devtools.restart.ChangeableUrls","The Class-Path manifest attribute in C:\Users\hp\.m2\repository\com\sun\xml\bind\jaxb-core\2.3.0.1\jaxb-core-2.3.0.1.jar referenced one or more files that do not exist: file:/C:/Users/hp/.m2/repository/com/sun/xml/bind/jaxb-core/2.3.0.1/jaxb-api.jar","64,935","[""demo-server"",""localhost""]",,restartedMain
"Jul 9, 2025 @ 01:10:19.258",1,"HFAE65cB_1ZE_QuMh4GZ","springboot-log-2025.07.09",,"_doc","192.168.100.1",INFO,"20,000","org.csu.healthsystem.HealthSystemApplication","No active profile set, falling back to 1 default profile: ""default""","64,935","[""demo-server"",""localhost""]",,restartedMain
"Jul 9, 2025 @ 01:10:19.257",1,"FFAE65cB_1ZE_QuMh4GR","springboot-log-2025.07.09",,"_doc","192.168.100.1",INFO,"20,000","org.csu.healthsystem.HealthSystemApplication","Starting HealthSystemApplication using Java 17.0.14 with PID 18656 (C:\Users\hp\IdeaProjects\HealthSystem\target\classes started by hp in C:\Users\hp\IdeaProjects\HealthSystem)","64,935","[""demo-server"",""localhost""]",,restartedMain
"Jul 9, 2025 @ 01:10:19.219",1,"GFAE65cB_1ZE_QuMh4GX","springboot-log-2025.07.09",,"_doc","192.168.100.1",INFO,"20,000","org.hibernate.validator.internal.util.Version","HV000001: Hibernate Validator 8.0.2.Final","64,935","[""demo-server"",""localhost""]",,"background-preinit"
